French,English
histoire,history
seulement,only
police,police
demande,request
mois,month
frère,brother
car,because
aucun,no
laisse,leash
arrivé,come
devrait,should
bébé,baby
longtemps,long time
pendant,while
parle,speak
attention,Warning
voici,here is
affaire,case
donner,give
type,type
leurs,their
train,train
corps,body
endroit,place
yeux,eyes
trouve,find
premier,first
perdu,lost
côté,side
sois,be
tiens,here
enfant,child
venu,came
suite,after
pardon,sorry
vers,towards
demandé,request
belle,beautiful
aujourd'hui,today
mari,husband
enfin,finally
espère,hope
attendez,Wait
parti,left
nouvelle,new
boulot,job
dirait,would say
donne,given
croire,believe
aura,will have
filles,girls
bureau,office
